TICK;PAC_X;PAC_Y;GHOST_X;GHOST_Y;EVENT
1;1;16;14;15;16
2;2;16;14;14;16
3;3;16;14;13;16
4;4;16;14;12;16
5;5;16;13;12;16
6;6;16;12;12;16
7;7;16;11;12;16
8;8;16;10;12;16
9;9;16;9;12;16
10;9;16;9;13;16
11;9;16;9;14;16
12;9;17;9;15;16
13;9;18;9;16;16
14;8;18;9;17;16
15;7;18;9;18;16
16;6;18;8;18;16
17;5;18;7;18;16
18;4;18;6;18;16
19;3;18;5;18;16
20;2;18;4;18;16
21;2;18;3;18;16
22;2;18;14;14;16
23;2;18;14;13;16
24;2;18;14;12;16
25;2;18;13;12;16
26;2;17;12;12;16
27;2;16;11;12;16
28;1;16;10;12;16
29;0;16;9;12;16
30;27;16;9;13;16
31;26;16;9;14;16
32;25;16;9;15;16
33;24;16;9;16;16
34;23;16;9;17;16
35;22;16;9;18;16
36;21;16;10;18;16
37;20;16;11;18;16
38;19;16;12;18;16
39;18;16;13;18;16
40;18;16;14;18;16
41;18;17;15;18;16
42;18;18;16;18;16
43;17;18;14;14;16
44;16;18;14;13;16
45;15;18;14;12;16
46;14;18;13;12;16
47;13;18;12;12;16
48;12;18;11;12;16
49;11;18;10;12;16
50;10;18;9;12;16
51;11;18;9;13;16
52;12;18;9;14;16
53;13;18;9;15;16
54;14;18;9;16;16
55;15;18;9;17;16
56;16;18;9;18;16
57;17;18;10;18;16
58;18;18;11;18;16
59;19;18;12;18;16
60;20;18;13;18;16
61;21;18;14;18;16
62;22;18;15;18;16
63;23;18;16;18;16
64;24;18;17;18;15
65;25;18;18;18;14
66;25;17;19;18;14
67;25;16;20;18;14
68;24;16;21;18;13
69;23;16;22;18;12
70;22;16;23;18;11
71;21;16;23;19;10
72;21;15;23;20;10
73;21;14;24;20;10
74;22;14;25;20;11
75;23;14;25;21;12
76;24;14;25;22;13
77;25;14;24;22;14
78;25;15;23;22;15
79;25;16;23;21;16
80;25;15;23;20;17
81;25;14;23;19;17
82;25;13;23;18;17
83;25;12;24;18;18
84;24;12;25;18;19
85;23;12;25;17;20
86;23;11;25;16;21
87;23;10;25;15;21
88;22;10;25;14;21
89;21;10;25;13;22
